Q,A
오케잉 공부 끝나면 전화해야돼 꼬옥,자기 나 좀 더 늦 오잉
엥,ㅋㅋㅋㅋㅋㅋㅋㅋ 나도 말하려고 했는데 나 좀 더 늦을거 같아서 먼저 자라구 카톡할게
응응 아니,응응 카톡
그럼 나 안자 나 앉아있을게,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
잠오면,끅끅
담배피러나갈게??,전화할게~)
약속해 현지걸어,야크속 약속해~
아제대로 현지걸어 세번울리고 끊는거아니ㅣ다 받을때까지해야됨 애깅 나 시간 맞춰 나와서 이제 곧 도착해요!! 푹 자고 일어나서 학교 잘 다녀와요 오늘만 아좌좌얼른 보고싶다,자기 말 너무 예쁘게 한다 잠깐 깼는데 다시 기분좋게 잠들거같아 고마워
모야 기여미 자다깬 준서 보고파,너무 잘 잤나봐 8시에 일어나야되는데 지금 일어났어 ㅋㅋㅋㅋ 얼른 준비해야지 학교가려고 나왔어요 담배 다피고 가려는데 나도 모르게 자기한테 전화 걸뻔했어 😆
ㅋㅋ기욤아 흐잉 부점장님 쉬러가셨어 난 10시반에 쉰다 애기 수업 잘 들어갔니? 나 쉬러왔엉,나도 끝났는데 자료 찾을거 있어서 다하구 전화할게 밥먹으러왔어영 만두국 먹으려고 자기 생각난김에 재직증명서 인쇄하려고 했는데.. Active 어쩌구 설치하느라 출력버튼 2번 눌러서 신청 끝났대 그래서 재신청했엄..
그거 받을슈있긴할까?,ㅋㅋㅋㅋ 승인 또 해줬던데 끝낚어??
ㅋㅋㅋㅋ 담에는 메일로 받기 할래,그러자
오잉 먼데 부처님오신날? 쉅 들어가쓔??,아녀유
금데 왜 조나안바다 현지 끝났는데!! 남은 수업 아좌좌!!,아자아자!
자기 나 이제 사탕사서 지하철탔어용 자기야 현지 너무 속상해,끝나서 간다 애기야 딱 기다려
나 지금 일어나써 씻어도돼? 담배 같이 펴,응 도착해서 말할게 나 잘게 자기 피곤할텐데 조심해서 출근해요
잉 자기 어제 자기 들어가는거 못들었네 나 아제 도착했어요 오늘 푹 자고 일어나서 밥 꼭 챙겨먹어 다녀올게!!,일어났어욥 열심히하구 있나?
웅야 왤케 일찍 일어났니!! 부점장님 쉬러가셨당 나는 한시간뒤에 쉰당,그렇군!! 고생하고있구나 이제 곧 쉬는시간이네~ 얼른 씻고 올게
잉 천천히 씻구왕 밥먹구있을갱 아직 씻구있닝 대박사건 ㅋㅅㅋ 뮤지컬 예매해라잉~,아니 이게 무슨일이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ Off가 이틀이네요??? 심지어 토요일 미들까지..
긍께요 오픈입니다^^,아익후
누구랑 통화중 애기 데려다줘서 고마워 추우니까 얼른 가요,웅 화장실갔다가 다시 집가는중
잉 나 갈아타쪄 자리없어서 슬퍼,우씨 우리 요정님 앉아야되는데 다들 뭐하는거야
그니까 요정님 다리아퍼,멍청한 놈들이라 그래요 요정님 좀만 참으셔요
ㅋㅋㅋㅋ왜저래,ㅋㅋㅋㅋㅋㅋㅋㅋ
어디양,이래서 내가 옆에 있어야되는데.. 나 지금 교회다와가
웅 얼른가서 좀 더 자,잉 바로 침대행이야 일단 눕고본다
ㅋㅋ웅 기여미,집 도착!
얼른누워 부럽다,ㅋㄷㅋㄷ 직장인은 일해야디
ㅋㅋ %,뭔가 허전해 옆구리가 비어있어 얼른 들어와
9시간만 참어 나도가고시퍼 옆구리에 불어있거시퍼,후.. 꿈에서 자기 만나러가볼게 꿈에서봐요 요정님
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웅잘자 더착하면 연락남겨놓을게,응..잘갔다와 😫
오야,도착은 잘 했남..? 나 이제 일어나서 슬슬 씻으려구
웅 애기 나 오자마자 부점장님 넘 바쁘셔서 얼른 옷갈아입구 들어와써 미아내ㅠㅠ 지금 부점장님 휴식 버내드리고 혼자있오 애기 씻구있남,설거지 하구 이제 씻으려고 원준이만나서 카페가기로했어요
ㅋㅋ설거지는 왜해 애가야 애기야 밥 꼭 먹구 공부해 카페 엘가 가는고야??,응 엘가 가려고 밥은 미아리에서 비빔밥 먹을거얌
응응 예쁘다 밥 잘 챙겨먹구 공부 열심히 하구있으면 하니딥 사갈게,ㅎㄹ허니딥 좋아좋아 이제 나간다~
웅 애기 조심해서 다녀~ 1시30분 휴식 예정~,오케잉 자기두 손 조심하구
ㅋㅋ웅 기염아,흥
벌써 보고싶에 네,간지 2시간도 안됐다니..
힝 말안돼 담배매려 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ 야미야미
아나 님 7시까지 공부할거? 게임하러가겠지,피시방두 살짝 ㅋㅋ 역쉬
ㅋㅋ,망나니 출격준비완료
그럼 석계로 갈게 공부하고 게임 하고있어,잉
7시30분까지 게임할수있게해준다!,홀리홀리 미쳤다리
7시에 막판 시작할수이써,나 지려도돼?
넘었으면 하지마러,응응 7시
웅,7시기억
지리지는말구,ㅋㅋㅋㅋㅋㅋㅋㅋ 말 잘듣고 있을게
오냐! 어늘은 베라도 사가는거다!! 이천오배건 케이티할인 써야된다!,베라베라!! 가주아~~~!! 화사한게 자기 닮아서 찍었어
예뿌네 오디야 저기,그 석관고 가는 신호등 지나면 바로있어
예뿌다 오늘도 날씨 좋네,그치 맞아 오늘 날씨 조아 자기한테 애교부리고 싶어
너 진짜 왤케 귀여워??? 집가면 엉덩이 깨물릴줄아러,탐스렇게 준비할세 게 요것두 가져 나중엔 사줄게 귀염아
ㅋㅋㅋㅋ뭘 사줘 꽃? 자기가 내 꽃인데 뭘 더 바라겠어 이거면 충분함,그건 기본이죠 얼마든지 드립니다 아프지않게만 해주세요..ㅎ 밥 야무지게 먹고 엘가 도착했어 그난이 귀여워
ㅋㅋㅋㅋㅋㅋㅋ 니가 더 애기야 나 이제 슬슬 들어가요 이따보자 얼른 자기 옹동이 함냐함냐 하고싶다,ㅋㅋㅋㅋㅋㅋㅋ 옹동이 잘 있으니까 걱정하지말구 갔다와
아라쪄 함냐함냐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
좀만기다류!!,얌전히 있을게
이뿌니 다녀올게!!,이쁜아 잘 갔다왕 이제 겅부 끝내고 슬슬 피시방 가려구
웅 고생해떠 뚱땡이 죽일까?,왜 무슨일이야 또 뭐했어 뚱띠
아 생긴것도 맘에 안들고 말 작직 걸었으면 좋겠어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미뚱 또 눈치 못챙기고 다니나보네 나 지금 첫게임 시작했어
아이 시발련 나 아직도 안보내준다 아이 시발련 내가 집갈준비하니까 갑자기 화장실로 튀어버리네 진짜 죽이고싶다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아직도 퇴근못했어?
지금함 ㅋㅋ 연장 ㄱㅇㄷ,10분 음냐름냐 자갸 나 2번째 겜 시닥했어 울 자기 고생했어요
웅야 석계루 갈겡~,넵!!
현지 지하철 타쏘 데려다줘서 고마오,자기 기분좋게 갔다올 수 있으면 그걸로 👌 집도착이에요
응응 나도 갈아탔어요 애깅 조금 더 자고 일어나용,네에 일어나서 연락할게요
응ㅇ응 애기 나도 도착해서 연락 남길게 애기야 나 도착했어요 이따가 쉬는시간에 전화할게 푹 쉬고 뭐라도 꼭 먹고 나가요,응 일어났어 좀 쉬다가 씻구 나가게
웅 애기 커피 타서 도너츠랑 먹어요,얌
ㅋㅋ기여유ㅓ 마니먹어 남으면 애기 가져가서 공부할때 꺼내먹어 아라찌??,잉 그렇게 할게요 고마워
응ㅇ응 자기 벌써 보고싶다 자기는 뭐 누워서 웹툰이나 보고있겠지만,ㅋㅋㅋㅋㅋㅋㅋㅋ 정..답... 쉬는시간 언제야
1시반일득 다희년 출근하면 쉬러가게,그거 좋다
좀아까 민정매님 휴식 보내써 배달 많아서 바빠서 카톡못해쪄,맞네 일요일이라 출근하셨네
매님 먹소리 맛이가셨더라 마니 아푸셨대,헐 다 아프시네 우리 자기는 그래도 괜찮았는데
엉 장례식장가서 걸려왔나봐,아
그러고 점장님 옮겼나봄 둘다 아픈거보니까,아하
아닐수도있지만,얼른 목소리 듣고싶네 좀만더 고생해요
잉 싀는시간에 베이글 머글까 도너츠 머글까 흠냐링 원래는 걍 도너츠 머그려고했는데,베이글베이글 맛있겠다
민정매님이 바질베이글 머그니까 나도 먹고싶네,베이글 조져
흐 ㅁ 거민해볼게,ㅋㅋㅋㅋㅋ
베이글 하나 사갈까? 같이머글래??,조하
아라쪄 머사갈까,귀욤아 자기랑 같은거
플레인 블루베리 바질 치즈,블루베리베리
깜빠뉴 이써,고마우이
오케잉 그럼 블루베리랑 바질이당,따당 걀정
걍 가져가고 집가서 오븐에 구워먹자,더 맛있겠다
웅,씻고 나왔어 나갈준비 합니다앗
웅 나 싄당,밥먹구 연락해~
현지 이제 드간다 애기야~~~~~ 공부 열심히 하구 이써~~~ 얼른 가서 예뻐해주마 함냐함냐해주마,알겠다구! ㅋㅋㅋㅋㅋ 귀욤아 엄마가 밥 안차려준대서 내가 밥 얹히고
ㅋㅋㅋㅋㅋ웅,고기 구워먹으려고 그동안 놀거다
헉헉 아라써 대박 다컸네 우리애기,ㅋ.ㅋ
누나한테 장가와도 되겠네,응애
ㅋㅅㅋ 간다,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
밥 맛있게먹어 애기,잘다녀오세요
사랑해,사랑해~ 이따봐
헉 대박 맛있겠다 나도 고기 먹고싶어,고기 맛있엉 자기 고기 먹고싶은때 먹으러가자
웅 애기 공부하고있어??,이제 하려구
저녁에 경배랑 지원이가 보자는데 같이 볼래?? 경배랑 술먹기로했던거 있자나 그거 오늘 보자구 그러던데,그러자 어디서 보기로했어?
웅 멀라 걍 끝나고 저나한다고했어 피씨방이랑 코노 가있겠댜 대 슬은 먹을지안먹을지멀라 경배 사탕 주랴고 얼굴만 봐도 돼,술 먹고싶어??
음 뭐 안먹은지 오래되서 먹으면 먹구 그런거,그래 자기가 잘 조절하겠지 말만 해줘
자기랑 같이 있을건데? 같이가자구 했잖아 근데 술 먹으면 자기는 참아야대 낼 수업가니까,응응
자기 기분 안조아?,괜찮아유 자기 놀고 싶은거 존중하지 대신에 너무 걱정하지 않게끔만 해줘
잉 자기 옆에 꼭 붙어있을건데,엄마 옛날통닭먹고 싶다고 해서 사러나왔오 ㅓ
헉 나두 통닭,먹고싶어? 이떠 집갈때 같이 사갈까?
현지가 살게 뚱땡이 쓰레기버리러가써 쓰레기 적으니까 지가가겠대 진짜 또 열받아,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말 이쁘게 하는걸 들은적이 없네
머 이런게 다있노 저렇게 말한건아니구 걍 오늘 양 적어서,응
가면서 자기랑 저나하려고했는데 미친련이 지가가겠대,응응 ㅋㅋㅋㅋㅋㅋㅋ
어제는 존나 많아서 끌차끄니까 나보고 가라고했으면서 줘패진짜?? 낼 부점장니오면 다일러,ㅋㅋㅋㅋㅋㅋㅋ 욕좀 먹어야겠다 아쉽네 자기 목소리 들을수 있었는데
긍까 힝 한시간 남았다ㅠㅠ 공부는 좀 했어?,한과목 복습다하구 중간고사 시험까지 공부 일정짜고 나왔어 사실상 별로 한건 없으
애기 고생했어 나 16분 도착예정이래,응 나는 좀 더 걸려요
천천히해요 내가 거기로갈게 애들 제노래,알겠어
자기 화났어??,화났어 자기야 걱정안해두돼 방긋 웃고있어
화났는데 웃고있어? 왜에 왜 화났어,어 뭐야 화안났어 보내려고 했는데 안이 빼져있네 ㅋㅋㅋㅋㅋㅋㅋ
ㅠ 자기 무서워ㅠ 일번지 갈래? 일번지갈래 우리집 갈래,😂
자기 가고싶은곳으로가자 애들한테 말할게 애들이 봉주비어 가자는데 자기는 괜찮아?? 일번지왔어요,분리수거 하구 이제 출발해 어케이 학교 도착했어 들어갈게
애기야 늦ㅇ은거아냐,노놉 10시반수럽이라 괜찮아 교수님도 이제 들어왔어 나 끝났어 자기 이제 슬슬 일어나야지~
아오 긔타나,준비다했엉?
웅 나왔는데 채히한테 저나와서 담배피면서 하구있어,알겠어욥 지하철 타기 전에 통화한번할래? 자기 목소리 듣고싶어
아오 보고시퍼 현지 이제 곧 도착해요 애기 수업 들어갔겠네 공부 열심히 하구 얼룬 보자 ㅠㅠ 지짜 어케 맨날 봐도 보고싶냐,읭 수업 끝났어 자갸 자기두 고생하구 ~
넌 안보고싶나보네?,오잉.. 그럴리가요 눈나 너무 보고싶어 강의실 도착했어 마지막쉅 애기 언제쉬어?
쉬고있는디유,두둥..!?
자기 수업 끝났어? 애기 나 슬슬 들어가용 밥 잘 챙겨먹구 공부 열심히하구있어용,네 ❤ 엘가도착했어요 7시쯤 밥먹으러가게
잉 밥먹으로가니,아직이욤 공부중이였어 이제 슬슬 밥먹으러 가요 다먹구 다시 카페 도착! 공부 다 끝내구 겜 한판하러 왔어용
안한다며~~~~,해버렸어~~~~ 아직 안끝났어??
애깅 잘 도착해쓔~?,그럼~ 짐 챙겨서 나왔어 전기장판 안꺼놨더라~~? 너무 어두워서 부엌 불은 켜놓고 나왔어 간다~
ㅎㅅㅎ,요자식 누님왔는데 반겨주지도 않아? ㅋㅋㅋㅋㅋㅋ 오랜만에 보니까 어때요
너무 조치 ㅠㅠ,난 다 씻었엉
웅나듀 나 깼어용,쉅 끝났어유
자기 뭐해 나 일어났어,나 도서관에서 겅부중이였어 씻고 전화해주세요 기다리고 있을게
아라쪄 마라탕이랑 할맥 마렵다,나동 둘다 맛집인데 시간나면 기기 ?
우리 갔던 마라탕집 배달하는데 9시50분까지바께안함 ㅠ,흐음
히잉,금토일 시간 많으니까
일욜에 머글까,그때도 먹고싶으면 시키자 어때
토요일에는 나 엄마집 ㅠㅠ,맞다맞다
토욜에 할맥갈까,고래용 근데 아 어머니집 들렸다가 가자는거지?
웅 자기 공부 다끝나구,오케오케
희희 조아용 일욜에 무조건 마라탕 할맥보다 더 땡김 할맥은 안가도 마라탕 무조건 먹고 공부 가자 시년지 귀찮다고 그러면,응
멱살잡고 끌고가기,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 알았어
아싸 현지 이제 더착해쪄,마라탕 + 공부
응응,벌써 도착했어
애기 겅부 열심히하구 밥 꼭 챙겨먹어요 다녀올게용,응 자기두
넹,잘 다녀와
따당행,ㅋㅋㅋㅋㅋㅋㅋ귀욤아 나도 사랑해 아빠가 돈 주셔서 밥먹으러왔우
뭐먹어 애기,삼겹김치철판볶음 먹었어 왕맛있어 다 먹구
웅 애기 밖에서 먹은거야??,그냥 강의실에 앉아서 공부하려고
맛있었겠다,그
잘했네,학식이야
응응 자래떠 맛있는거먹어서 다행이네 남은 수업 열심히 들어용,네넵 얼른 시간 지나갔으면 좋겠다 자기도 쉬는시간에 밥 맛있게 먹어
응응!! 쉬는시간이당~,구래 말해줘서 고마우이
녜 얼른 우리자기 보고싶다 들어갈게요잉 애기 밥 맛있게먹구~~~ 얼른보쟈,읭 얼른와 집에서 기다리고있을게 밥 다먹고 자기집가요 다녀왔습니다~ 전기장판 안끄면 불나요~~
ㅋㅅ케,추워서 보일러 켰슈..
ㅋㅋㅋ자래쓔 기욤아 다해두돼 청소빼고~,이이 좀만 더 고생하라구
오이오이 약삼십분 남았다구우,별로 안남았다아 힘내라힘 힘내라힘
50분 도착이염,알겠어용~
하앙 마라탕 시켜먹을까? 근데 그 외대점은 없음 ㅠㅠ 근데 밥 먹으면 자기 집 너무 늦게가는거 아녀ㅠㅠ 담에 머글까 살짝 배고프긴한데,나도 배고프긴해
헉헉 야 그럼 먹자 마라탕먹을래 아니면 밥 먹을래 나 점 국물땡기는데,마라탕조졋
너 국밥먹어서 오케잉 내알아서시킬겡,나 오늘 국밥 안먹음 이이
아 그랭?,웅
철판먹었다고했나,얍얍
어제가 국밥이었누?,그쳥? 자기 옷 입구 마중나간다!
웅야 마트 들려서 햇반도 사자,조오치 어디쯤인가?
태릉에서 기달중,삭제된 메시지입니다.
나와따ㅔ,일어났어요 나 수업 끝났어 자기~
웅 고생해뗘,자기 주려구 스티커 받았어
ㅌㅌㅋㅋㅋㅋㅋㅋ 자래써 기염아 애기 나 이제 거의 더착했어용 잘다녀올게 남은 수업 화이팅하구!! 이따봐용,엉 나도 수업 이제 끝났어요~ 홧팅!
싀는시간이에용,나두 끝났어~ 공부 다 끝내고 교수님 연구실가고있엉
웅야 애기 나 쓰레기 버리고 올라가용 꽤 길게하나부네,타이밍 무야 나 이제 끝났어 엘베타고 내려가는즁
웅 애기 난 오늘 디지게 바뿌 호다닥 올라가는중 담타주시면 전화할게,으.. 알겠어요 힘내 쟈기 밥 다먹규 석계가고있어요 석계 이디야 카페에용 나 공부 하고 준형이 알바끝나고 석계 근처래서 같이 노래방가요 그래도 자기 일 끝나면 전화줘
50분쯤 더착요,넵!! 자기 문자 보냈찌?
30분에 보내는거야 자기야 나는 누가 하라고하면 하기가 싫다?,역시 자기라니깐?👍
일해라절해라,걱정한건데..
나 오늘부터 정신똑바로 차리고 살기로해써 웅 장난친거야,지금도 잘하고있오 휴
잉 고마어 ㅋㅋㅋ기여미,ㅋㅋㅋㅋㅋㅋ
도착해따 요놈아!!,나 궅
나두,수업 열심히 듣고있어요~푹 자고 일어났으면 좋겠네 나 수업 끝나서 좀 있다가 밥먹으로가요 볶음밥 시켜서 먹고이써 다먹고 선배가 노래방가자고해서 도착했어 참고로 남자여
웅 현지 일어나써,잉 슬슬 준비하겠네 자기랑 통화하고 싶은데 이 선배 미치겠어 자꾸 추가해
그만하라그래,ㅈㄴ웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ 자기 준비다했어?
웅 자기 나 거의 다 도착했어요오 다녀올게 이따 저녁에 보쟈!! 밥 잘 챙겨먹구~~~ 나도 잘 챙겨먹을게 안냐뷰❤️❤️❤️,얍얍 잘 다녀오시오 밥 꼭 먹고
자기야 나 지금 쉬어요 매장이 바빠서 일찍 쉬라그래서 자 먹는다,수업끝나구 동기랑 밥먹으러왔우요 이따 해보져 ㅑ 이제 도서관가욥
ㅋㅋ 오케이 스케줄이염,흠 Soso? 목요일 퇴사구나 이번주 off이틀받아서 다행이다 저 마지막 수업 시작해용
웅야 화이팅!!,아자아자!  나 이제 끝나서 출발할게 나 도착했어요~ 자기 3층 화장실 맞지?
애기야 푹 자길래 조용히 준비해서 나왔어요 잘 다녀올게 푹 자고 일어나면 연락해줘 라이터 내가 챙겼는데 약상자에 하나 있을거야 없으면 암대나 함 찾아봐 하나는 나올수도,나 일어났어.. 자기 덕분에 푹 자고 일어났어 힝
잘했어 애기 일찍 일어났네 잘잤어?,응 너무 잘잤지 자기는 어때 피곤할텐데 ㅠㅠ
나두 갠차나용 애기 밥은 어쩌지 냉장고에 사과있는데 상태좋은걸로 그거라도 꺼내먹어,웅 다시 자다가ㅜ일어났어요
